Family,Genus,Subgenus,Species,1996,1997,1998,1999,2002,2011,2012,Prop. years present,New/ Absent in 2011-12,Num_years
Megachilidae,,(Hoplitina),bunocephala,S, ,S, , , , ,0.29,A,2
Megachilidae,,,howardi,C,C,C,C, ,R,R,0.86, ,6
Megachilidae,,(Monumetha),albifrons ssp. maura,C,C,C,C,C,C,C,1, ,7
Megachilidae,,,fulgida ssp. platyura,C,C,C,C,R,C,R,1, ,7
Megachilidae,,(Penteriades),remotula,R,C,R, ,S,R,S,0.86, ,6
Megachilidae,,(Proteriades),cryptanthae,R,R, , ,S, , ,0.43,A,3
Megachilidae,,,jacintana,C,C,S,R, ,R, ,0.71, ,5
Megachilidae,,,nanula,R,C,S,R, ,R, ,0.71, ,5
Megachilidae,,,seminigra,S,C,R,S, ,S, ,0.71, ,5
Megachilidae,,,semirubra,R,R,R,S,R,R,R,1, ,7
Megachilidae,Megachile,(Argyropile),parallela, ,S, , , , , ,0.14,A,1
Megachilidae,,(Chelostomoides),angelarum, ,C,C, , ,R,R,0.57, ,4
Megachilidae,,,davidsoni, ,C, , , ,S,S,0.43, ,3
Megachilidae,,,exilis, , , , , , ,R,0.14,N,1
Megachilidae,,,spinotulata, ,C,R, , , , ,0.29,A,2
Megachilidae,,(Eutricharaea),apicalis, ,C,R, ,R,S,C,0.71, ,5
Megachilidae,,(Litomegachile),coquilletti,S,C,C,S,R,C,C,1, ,7
Megachilidae,,,gentilis, ,R,S, , , ,R,0.43, ,3
Megachilidae,,,lippiae, , , , , , ,R,0.14,N,1
Megachilidae,,,onobrychidis, , ,R,S,R,R,C,0.71, ,5
Megachilidae,,,texana,S,R,R,R, , , ,0.57,A,4
Megachilidae,,(Megachile),montivaga, ,R, , ,S,S,R,0.57, ,4
Megachilidae,,(Megachiloides),gravita, ,R, ,C,R,C,C,0.71, ,5
Megachilidae,,,pascoensis,R,C,R,C,R,C,C,1, ,7
Megachilidae,,,pseudonigra,S,R, , , ,R, ,0.43, ,3
Megachilidae,,,subnigra ssp. angelica, , ,R, ,R,C,R,0.57, ,4
Megachilidae,,(Sayapis),fidelis, ,S,R, , , ,S,0.43, ,3
Megachilidae,,,frugalis ssp. pseudofrugalis, ,C,C, , ,S,C,0.57, ,4
Megachilidae,,,inimica ssp. jacumbensis, ,R, , , , , ,0.14,A,1
Megachilidae,,,newberryae, ,R,R, , , , ,0.29,A,2
Megachilidae,Osmia,(Acanthosmioides),nigrifrons, ,S, ,R, , , ,0.29,A,2
Megachilidae,,,nigrobarbata,R,S,S,S,S,R,S,1, ,7
Megachilidae,,,odontogaster,R,C,C,R,S,R,C,1, ,7
Megachilidae,,,sedula,S,C,R,R,C,R,S,1, ,7
Megachilidae,,(Cephalosmia),californica,R,R,S,S, ,R,R,0.86, ,6
Megachilidae,,,montana ssp. quadriceps,R,R,R,C,S,C,R,1, ,7
Megachilidae,,(Euthosmia),glauca,R,C,C,C,C,C,C,1, ,7
Megachilidae,,(Helicosmia),coloradensis, ,C,C,R, ,R,R,0.71, ,5
Megachilidae,,,texana, ,C,S,R,R,R,R,0.86, ,6
Megachilidae,,(Melanosmia),aglaia,R,C,C,C,C,C,C,1, ,7
Megachilidae,,,atrocyanea,R,C,C,C,C,C,C,1, ,7
Megachilidae,,,brevis,C,C,C,C,R,C,C,1, ,7
Megachilidae,,,calla,R,C,C,C,R,C,C,1, ,7
Megachilidae,,,cara,C,C,C,C,S,C,C,1, ,7
Megachilidae,,,clarescens,R,C,C,R, ,R,R,0.86, ,6
Megachilidae,,,cyanella,C,C,C,C,R,C,C,1, ,7
Megachilidae,,,cyanopoda,S,C,R,R, , ,S,0.71, ,5
Megachilidae,,,densa,C,C,C,R,R,C,C,1, ,7
Megachilidae,,,gabrielis,C,C,C,C,R,C,C,1, ,7
Megachilidae,,,gaudiosa, , , , ,R,C,R,0.43, ,3
Megachilidae,,,granulosa,R,C,C,C,R,C,C,1, ,7
Megachilidae,,,aff. hesperos, , , , , ,S, ,0.14,N,1
Megachilidae,,,inurbana, , ,R,R,C,C,C,0.71, ,5
Megachilidae,,,kincaidii,C,C,C,C,R,C,C,1, ,7
Megachilidae,,,laeta,R,C,C,R,R,C,C,1, ,7
Megachilidae,,,malina, , ,S, , , , ,0.14,A,1
Megachilidae,,,melanopleura,C,C,C,C,R,C,R,1, ,7
Megachilidae,,,pusilla,R,C, ,R,R,R,R,0.86, ,6
Megachilidae,,,aff. pusilla, , , , , ,S, ,0.14,N,1
Megachilidae,,,raritatis,R,R,R,R, ,R,R,0.86, ,6
Megachilidae,,,regulina,R,C,C,C,C,C,C,1, ,7
Megachilidae,,,rostrata, , , ,R, , , ,0.14,A,1
Megachilidae,,,sp. P1, , , , ,R, ,R,0.29, ,2
Megachilidae,,,tristella, ,R,S,R, , , ,0.43,A,3
Megachilidae,,,vandykei, ,R,R,R, , , ,0.43,A,3
Megachilidae,,,visenda,C,C,C,R,R,C,C,1, ,7
Megachilidae,,(Mystacosmia),nemoris, ,R,C,C,C,C,C,0.86, ,6
Megachilidae,,(Osmia),lignaria ssp. propinqua,R,C,C,S,R,C,C,1, ,7
Megachilidae,,,ribifloris ssp. biedermannii, ,S,S, , , , ,0.29,A,2
Megachilidae,,(Pyrosmia),nigricollis, , , , , , ,S,0.14,N,1
Megachilidae,,(Trichinosmia),latisulcata, ,R,S,R, ,C,S,0.71, ,5
Megachilidae,Protosmia,(Chelostomopsis),rubifloris,C,C,C,C,R,C,C,1, ,7
Megachilidae,Stelis,(Protostelis),anthidioides,S, ,R, ,S,S, ,0.57, ,4
Megachilidae,,,hurdi, ,R,R,R,R,R, ,0.71, ,5
Megachilidae,,(Stelis),aff. foederalis n.sp., ,S, ,R, ,R, ,0.43, ,3
Megachilidae,,,ashmeadiellae, ,R,R,R, ,S,S,0.71, ,5
Megachilidae,,,calliphorina, ,R, , , , , ,0.14,A,1
Megachilidae,,,chemsaki, , , , , , ,R,0.14,N,1
Megachilidae,,,cockerelli, , , ,R, ,R,R,0.43, ,3
Megachilidae,,,interrupta, , , ,S, , ,S,0.29, ,2
Megachilidae,,,lateralis, ,R,R,R, ,R, ,0.57, ,4
Megachilidae,,,micheneri,S,R, ,S, ,R, ,0.57, ,4
Megachilidae,,,montana,R,R,R,R,S,R,R,1, ,7
Megachilidae,,,nigriventris, ,R,R, , , , ,0.29,A,2
Megachilidae,,,occidentalis,S,R, , , , ,S,0.43, ,3
Megachilidae,,,subemarginata,R,R,R,R, ,S, ,0.71, ,5
Megachilidae,Trachusa,(Heteranthidium),timberlakei, ,R,C,C,R,R,R,0.86, ,6
Megachilidae,,(Trachusomimus),perdita, ,C,C,C,C,C,R,0.86, ,6
,,,,,,,,,,,,,
Melittidae,Hesperapis,(Amblyapis),ilicifoliae,C,C,C,C,C,C,C,1, ,7
Melittidae,,(Panurgomia),regularis,C,C,C,C,C,C,C,1, ,7
